Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-4804.501	-4916.079	111.5781	0.8130498	1.286959	7.024635
6	-4809.576	-4920.639	111.063	0.6606419	1.286959	7.383287
12	-4802.293	-4915.558	113.2653	0.8892811	1.228345	6.096765
18	-4799.322	-4911.201	111.879	0.7665878	1.173269	6.940021
24	-4802.008	-4913.977	111.9685	0.6935967	1.223964	6.907275
30	-4802.035	-4914.373	112.338	0.7766817	1.220439	6.664639
36	-4806.083	-4919.226	113.144	0.8072355	1.375792	6.141707
42	-4818.097	-4928.719	110.6216	0.7422104	1.45453	7.505447
48	-4815.016	-4925.726	110.7104	0.7894201	1.637865	7.361968
54	-4805.36	-4916.626	111.2664	0.7357084	1.199196	7.273851
60	-4800.446	-4911.67	111.2238	0.8377988	1.258821	7.214467
66	-4803.116	-4915.148	112.0328	0.8584361	1.369808	6.71897
72	-4805.535	-4916.491	110.9561	0.7587194	1.176674	7.438561
78	-4811.645	-4922.34	110.695	0.7960585	1.323425	7.492016
84	-4808.619	-4919.846	111.2269	0.7585766	1.400407	7.194043
90	-4804.517	-4916.089	111.5725	0.6904134	1.545268	6.986722
96	-4808.627	-4921.703	113.0758	0.6949486	1.146462	6.344572
102	-4808.392	-4919.155	110.7629	0.932024	1.327362	7.381003
108	-4812.743	-4923.69	110.9468	0.6997771	1.388372	7.381003
114	-4807.423	-4919.137	111.7148	0.7915636	1.301025	6.956376
120	-4806.55	-4917.167	110.6171	0.7275995	1.343209	7.561868
126	-4801.212	-4912.421	111.2081	0.7466457	1.300781	7.25315
132	-4799.991	-4911.385	111.3942	0.8241056	1.187148	7.163331
138	-4801.004	-4913.465	112.461	0.7536078	1.158534	6.639955
144	-4797.223	-4907.2	109.9772	0.7503155	1.293877	7.913195
150	-4798.068	-4909.243	111.1753	0.7942699	1.293877	7.248267
156	-4807.691	-4920.292	112.6003	0.6808969	1.103986	6.63083
162	-4801.017	-4911.546	110.5296	0.715451	1.350939	7.6119
168	-4798.222	-4909.491	111.2696	0.7580637	1.384993	7.177796
174	-4802.964	-4915.217	112.2525	0.8040452	1.177062	6.716488
180	-4806.952	-4918.378	111.4265	0.6899161	1.368792	7.136952
186	-4821.193	-4930.963	109.7702	0.6878603	1.352925	8.031439
192	-4801.523	-4913.482	111.9595	0.8124385	1.284103	6.820699
198	-4801.395	-4913.543	112.1474	0.7216251	1.349891	6.73945
204	-4803.784	-4915.377	111.5929	0.6904792	1.153923	7.14422
210	-4806.778	-4918.366	111.5881	0.7050771	1.582031	6.956384
216	-4798.987	-4910.738	111.7502	0.7183832	1.347738	6.956384
222	-4800.513	-4912.334	111.8212	0.6676585	1.389399	6.927755
228	-4800.106	-4911.54	111.4346	0.6853708	1.310061	7.160313
234	-4805.408	-4916.907	111.4994	0.7843837	1.120563	7.160313
240	-4804.734	-4916.088	111.3538	0.7651676	1.286171	7.171389
246	-4795.049	-4905.902	110.8532	0.7185069	1.353593	7.435826
252	-4790.511	-4902.08	111.5687	0.7206762	1.093553	7.170717
258	-4793.758	-4904.758	111.0001	0.7636146	1.466992	7.285945
264	-4798.062	-4909.286	111.2235	0.6702757	1.300659	7.285945
270	-4793.945	-4904.147	110.202	0.7259483	1.188838	7.853818
276	-4795.872	-4905.537	109.6652	0.7688803	1.447432	8.005189
282	-4795.208	-4904.46	109.2515	0.8325922	1.227297	8.285834
288	-4804.339	-4914.577	110.2373	0.7329121	1.446147	7.719464
294	-4803.17	-4913.927	110.7574	0.7585687	1.431891	7.433076
300	-4811.473	-4922.458	110.9857	0.7584672	1.399441	7.324037
306	-4808.198	-4919.456	111.2574	0.632373	1.31995	7.279675
312	-4802.028	-4911.879	109.8518	0.7215503	1.298557	7.993381
318	-4807.981	-4920.412	112.4313	0.7608022	1.298557	6.58727
324	-4806.665	-4917.03	110.3645	0.7625414	1.154634	7.76364
330	-4800.497	-4912.274	111.7779	0.76311	1.082684	7.040885
336	-4803.25	-4914.341	111.0908	0.7881332	1.155521	7.360669
342	-4806.256	-4917.071	110.8152	0.7728031	1.216349	7.487963
348	-4804.448	-4915.252	110.8037	0.7273822	1.159882	7.545008
354	-4805.404	-4916.494	111.0898	0.8559948	1.392803	7.218538
360	-4804.898	-4917.658	112.7608	0.8238321	1.112439	6.462343
366	-4804.432	-4914.571	110.1391	0.683749	1.38889	7.82168
372	-4812.572	-4924.428	111.8564	0.7614381	1.275433	6.907708
378	-4812.169	-4923.016	110.8467	0.6798147	1.090618	7.581372
384	-4813.625	-4925.133	111.5075	0.84777	1.231559	7.069032
390	-4820.27	-4932.153	111.883	0.8786122	1.26538	6.834661
396	-4813.268	-4925.423	112.1551	0.7420707	1.267656	6.760484
402	-4812.887	-4923.345	110.4573	0.7287467	1.584054	7.55016
408	-4798.186	-4909.999	111.8131	0.811865	1.108834	6.98253
414	-4800.088	-4911.598	111.5103	0.6311356	1.458551	7.086385
420	-4787.289	-4898.023	110.7348	0.6437744	1.433922	7.505856
426	-4785.01	-4895.967	110.9576	0.7368766	1.299183	7.393527
432	-4783.669	-4894.241	110.5726	0.7926944	1.225019	7.603212
438	-4788.648	-4899.425	110.7776	0.5877072	1.225019	7.603212
444	-4788.687	-4899.745	111.0582	0.6963884	1.280259	7.369681
450	-4788.976	-4900.836	111.8607	0.80324	1.281616	6.880072
456	-4788.901	-4900.793	111.8917	0.6561448	1.178515	6.990172
462	-4786.39	-4897.427	111.0371	0.7688701	1.151572	7.401702
468	-4792.155	-4903.922	111.7669	0.7563018	1.062513	7.060743
474	-4792.273	-4903.935	111.662	0.7311041	1.071885	7.125946
